Visitors,Orders,Customer Type,Device Type,Date,Rate
644248,5735,All Visitors,All Devices,2019-02-01,0.890185146
600854,5154,All Visitors,All Devices,2019-02-02,0.8577790940000001
452830,3374,All Visitors,All Devices,2019-02-03,0.7450919770000001
636388,5633,All Visitors,All Devices,2019-02-04,0.885151826
638629,5693,All Visitors,All Devices,2019-02-05,0.8914408840000001
635154,5445,All Visitors,All Devices,2019-02-06,0.85727241
696833,6312,All Visitors,All Devices,2019-02-07,0.90581244
710880,6088,All Visitors,All Devices,2019-02-08,0.856403331
653226,5653,All Visitors,All Devices,2019-02-09,0.8653972740000001
637810,5017,All Visitors,All Devices,2019-02-10,0.78659789
696586,6118,All Visitors,All Devices,2019-02-11,0.878283514
662052,6043,All Visitors,All Devices,2019-02-12,0.9127681809999999
668065,5708,All Visitors,All Devices,2019-02-13,0.854407879
637245,5130,All Visitors,All Devices,2019-02-14,0.8050278940000001
665895,5608,All Visitors,All Devices,2019-02-15,0.8421748170000001
631231,5145,All Visitors,All Devices,2019-02-16,0.815074038
603395,4722,All Visitors,All Devices,2019-02-17,0.782571947
682920,6217,All Visitors,All Devices,2019-02-18,0.9103555320000001
662657,5807,All Visitors,All Devices,2019-02-19,0.87632063
796812,8041,All Visitors,All Devices,2019-02-20,1.0091464490000002
835134,8312,All Visitors,All Devices,2019-02-21,0.995289379
788164,13084,All Visitors,All Devices,2019-02-22,1.660060597
689473,6448,All Visitors,All Devices,2019-02-23,0.935207035
679961,6259,All Visitors,All Devices,2019-02-24,0.92049397
701911,6673,All Visitors,All Devices,2019-02-25,0.95069033
694324,6481,All Visitors,All Devices,2019-02-26,0.933425893
712073,7928,All Visitors,All Devices,2019-02-27,1.113368994
636347,6919,All Visitors,All Devices,2019-02-28,1.087299854
681591,7786,All Visitors,All Devices,2019-03-01,1.14232729
617902,6862,All Visitors,All Devices,2019-03-02,1.1105320909999998
584435,6747,All Visitors,All Devices,2019-03-03,1.154448313
664686,7609,All Visitors,All Devices,2019-03-04,1.144751055
639790,7051,All Visitors,All Devices,2019-03-05,1.10208037
630434,7331,All Visitors,All Devices,2019-03-06,1.162849719
525185,5479,All Visitors,All Devices,2019-03-07,1.0432514259999999
674127,7006,All Visitors,All Devices,2019-03-08,1.039270049
559375,5877,All Visitors,All Devices,2019-03-09,1.050636872
535700,5308,All Visitors,All Devices,2019-03-10,0.990853089
629173,6393,All Visitors,All Devices,2019-03-11,1.0160957320000001
657024,6110,All Visitors,All Devices,2019-03-12,0.929950808
693097,6563,All Visitors,All Devices,2019-03-13,0.946909307
742669,6818,All Visitors,All Devices,2019-03-14,0.9180402040000001
642488,6460,All Visitors,All Devices,2019-03-15,1.00546625
580696,5713,All Visitors,All Devices,2019-03-16,0.9838194170000001
571953,5458,All Visitors,All Devices,2019-03-17,0.954274215
616042,6132,All Visitors,All Devices,2019-03-18,0.995386678
609722,6521,All Visitors,All Devices,2019-03-19,1.069503807
644274,6366,All Visitors,All Devices,2019-03-20,0.9880889190000001
653760,5783,All Visitors,All Devices,2019-03-21,0.884575379
672620,6296,All Visitors,All Devices,2019-03-22,0.936041153
590888,5298,All Visitors,All Devices,2019-03-23,0.8966166179999999
567274,4873,All Visitors,All Devices,2019-03-24,0.859020509
647800,6545,All Visitors,All Devices,2019-03-25,1.0103426979999999
654935,6258,All Visitors,All Devices,2019-03-26,0.955514669
665719,6333,All Visitors,All Devices,2019-03-27,0.951302276
686746,6075,All Visitors,All Devices,2019-03-28,0.8846065359999999
706084,6060,All Visitors,All Devices,2019-03-29,0.858254825
624053,5448,All Visitors,All Devices,2019-03-30,0.873002774
599866,5447,All Visitors,All Devices,2019-03-31,0.908036128
