totalshoppertraffic_visitors,totalshoppertraffic_visits,digital_orders,aal_orders,eup_orders,nao_orders,nse_orders,nso_orders,nsp_orders,npp_orders,total_orders,cust_prospect_ind,visit_device_type,event_dt
360930,386027,1024,12,5,131,444,117,66,249,1500,UNDETERMINED,All Devices,3/12/19
13030,14590,291,45,213,23,6,2,1,1,345,CUSTOMER,Tablet,3/12/19
927,943,0,0,0,0,0,0,0,0,0,UNDETERMINED,Gaming Console,3/12/19
251155,284929,4879,1056,3093,569,100,31,17,13,6007,CUSTOMER,All Devices,3/12/19
161097,180050,3820,836,2454,436,57,16,13,8,4489,CUSTOMER,Desktop,3/12/19
21400,26799,90,0,0,2,72,7,4,5,147,PROSPECT,Mobile Phone,3/12/19
270573,303420,1161,181,425,155,269,65,32,34,1870,All Visitors,Mobile Phone,3/12/19
16,20,1,0,1,0,0,0,0,0,1,CUSTOMER,Gaming Console,3/12/19
352032,385427,4574,841,2459,526,380,98,45,225,5508,All Visitors,Desktop,3/12/19
3107,3658,14,0,0,2,8,1,3,0,17,PROSPECT,Tablet,3/12/19
33368,36544,374,46,213,39,40,9,17,10,449,All Visitors,Tablet,3/12/19
45624,55570,207,0,0,20,145,24,11,7,314,PROSPECT,All Devices,3/12/19
657024,726526,6110,1068,3098,720,689,172,94,269,7750,All Visitors,All Devices,3/12/19
20966,24941,103,0,0,16,65,16,4,2,151,PROSPECT,Desktop,3/12/19
163,172,0,0,0,0,0,0,0,0,0,PROSPECT,Gaming Console,3/12/19
172380,186352,304,6,0,43,160,45,25,25,532,UNDETERMINED,Mobile Phone,3/12/19
1106,1135,1,0,1,0,0,0,0,0,1,All Visitors,Gaming Console,3/12/19
170359,180436,651,5,5,74,258,66,28,215,893,UNDETERMINED,Desktop,3/12/19
77045,90269,767,175,425,110,37,13,3,4,1197,CUSTOMER,Mobile Phone,3/12/19
17273,18296,69,1,0,14,26,6,13,9,87,UNDETERMINED,Tablet,3/12/19
1605,1745,4,0,0,0,3,1,0,0,4,PROSPECT,Tablet,2/3/19
36930,40006,292,43,171,38,21,8,4,7,338,All Visitors,Tablet,2/3/19
17097,18966,62,1,1,5,44,8,2,1,87,PROSPECT,All Devices,2/3/19
452830,493225,3374,527,1815,334,425,128,43,102,4127,All Visitors,All Devices,2/3/19
6593,7259,26,1,1,3,15,4,1,1,41,PROSPECT,Desktop,2/3/19
8,10,1,0,0,0,1,0,0,0,1,PROSPECT,Gaming Console,2/3/19
189335,204526,597,89,195,80,172,40,12,9,808,UNDETERMINED,Mobile Phone,2/3/19
110,124,2,0,1,0,1,0,0,0,2,All Visitors,Gaming Console,2/3/19
143947,152214,1216,163,642,98,157,57,20,79,1521,UNDETERMINED,Desktop,2/3/19
32030,35005,294,79,155,30,14,12,1,3,358,CUSTOMER,Mobile Phone,2/3/19
29660,31627,157,25,80,19,18,7,1,7,185,UNDETERMINED,Tablet,2/3/19
363015,388478,1970,277,917,197,347,104,33,95,2509,UNDETERMINED,All Devices,2/3/19
6216,6634,131,18,91,19,0,0,3,0,150,CUSTOMER,Tablet,2/3/19
103,111,0,0,0,0,0,0,0,0,0,UNDETERMINED,Gaming Console,2/3/19
79856,85781,1342,249,897,132,34,16,8,6,1544,CUSTOMER,All Devices,2/3/19
41618,44139,916,152,650,83,20,4,4,3,1037,CUSTOMER,Desktop,2/3/19
8892,9952,31,0,0,2,25,3,1,0,41,PROSPECT,Mobile Phone,2/3/19
