totalshoppertraffic_visitors,digital_orders,cust_prospect_ind,visit_device_type,event_dt,rate
360930,1024,UNDETERMINED,All Devices,3/12/19,0.283711523
13030,291,CUSTOMER,Tablet,3/12/19,2.233307751
927,0,UNDETERMINED,Gaming Console,3/12/19,0
251155,4879,CUSTOMER,All Devices,3/12/19,1.942625072
161097,3820,CUSTOMER,Desktop,3/12/19,2.371242171
21400,90,PROSPECT,Mobile Phone,3/12/19,0.420560748
270573,1161,All Visitors,Mobile Phone,3/12/19,0.429089377
16,1,CUSTOMER,Gaming Console,3/12/19,6.25
352032,4574,All Visitors,Desktop,3/12/19,1.299313699
3107,14,PROSPECT,Tablet,3/12/19,0.45059543
33368,374,All Visitors,Tablet,3/12/19,1.120834332
45624,207,PROSPECT,All Devices,3/12/19,0.453708574
657024,6110,All Visitors,All Devices,3/12/19,0.929950808
20966,103,PROSPECT,Desktop,3/12/19,0.491271583
163,0,PROSPECT,Gaming Console,3/12/19,0
172380,304,UNDETERMINED,Mobile Phone,3/12/19,0.176354565
1106,1,All Visitors,Gaming Console,3/12/19,0.090415913
170359,651,UNDETERMINED,Desktop,3/12/19,0.382134199
77045,767,CUSTOMER,Mobile Phone,3/12/19,0.995522097
17273,69,UNDETERMINED,Tablet,3/12/19,0.399467377
1605,4,PROSPECT,Tablet,2/3/19,0.249221184
36930,292,All Visitors,Tablet,2/3/19,0.79068508
17097,62,PROSPECT,All Devices,2/3/19,0.36263672
452830,3374,All Visitors,All Devices,2/3/19,0.745091977
6593,26,PROSPECT,Desktop,2/3/19,0.394357652
8,1,PROSPECT,Gaming Console,2/3/19,12.5
189335,597,UNDETERMINED,Mobile Phone,2/3/19,0.315314126
110,2,All Visitors,Gaming Console,2/3/19,1.818181818
143947,1216,UNDETERMINED,Desktop,2/3/19,0.844755361
32030,294,CUSTOMER,Mobile Phone,2/3/19,0.917889479
29660,157,UNDETERMINED,Tablet,2/3/19,0.529332434
363015,1970,UNDETERMINED,All Devices,2/3/19,0.5426773
6216,131,CUSTOMER,Tablet,2/3/19,2.107464607
103,0,UNDETERMINED,Gaming Console,2/3/19,0
79856,1342,CUSTOMER,All Devices,2/3/19,1.680524945
41618,916,CUSTOMER,Desktop,2/3/19,2.200970734
8892,31,PROSPECT,Mobile Phone,2/3/19,0.34862798
226302,922,All Visitors,Mobile Phone,2/3/19,0.407420173
3,1,CUSTOMER,Gaming Console,2/3/19,33.33333333
189542,2158,All Visitors,Desktop,2/3/19,1.13853394
83629,1897,CUSTOMER,Desktop,3/21/19,2.268351888
12103,58,PROSPECT,Mobile Phone,3/21/19,0.479220028
339804,1233,All Visitors,Mobile Phone,3/21/19,0.362856235
5,0,CUSTOMER,Gaming Console,3/21/19,0
274311,4165,All Visitors,Desktop,3/21/19,1.51834961
1,0,All Visitors,E-Reader,3/21/19,0
1451,3,PROSPECT,Tablet,3/21/19,0.206753963
37658,385,All Visitors,Tablet,3/21/19,1.022359127
23836,110,PROSPECT,All Devices,3/21/19,0.461486827
653760,5783,All Visitors,All Devices,3/21/19,0.884575379
10019,49,PROSPECT,Desktop,3/21/19,0.489070766
268,0,PROSPECT,Gaming Console,3/21/19,0
278565,801,UNDETERMINED,Mobile Phone,3/21/19,0.287545097
2104,0,All Visitors,Gaming Console,3/21/19,0
185557,2219,UNDETERMINED,Desktop,3/21/19,1.195858954
1,0,UNDETERMINED,E-Reader,3/21/19,0
56338,374,CUSTOMER,Mobile Phone,3/21/19,0.663850332
29032,240,UNDETERMINED,Tablet,3/21/19,0.826674015
494932,3260,UNDETERMINED,All Devices,3/21/19,0.658676343
7882,142,CUSTOMER,Tablet,3/21/19,1.801573205
1838,0,UNDETERMINED,Gaming Console,3/21/19,0
147825,2413,CUSTOMER,All Devices,3/21/19,1.632335532
13215,81,PROSPECT,Desktop,3/7/19,0.612939841
125,0,PROSPECT,Gaming Console,3/7/19,0
166757,513,UNDETERMINED,Mobile Phone,3/7/19,0.307633263
906,0,All Visitors,Gaming Console,3/7/19,0
159627,1610,UNDETERMINED,Desktop,3/7/19,1.008601302
52630,458,CUSTOMER,Mobile Phone,3/7/19,0.870226107
17178,106,UNDETERMINED,Tablet,3/7/19,0.617068343
344330,2229,UNDETERMINED,All Devices,3/7/19,0.647344118
7143,149,CUSTOMER,Tablet,3/7/19,2.085958281
784,0,UNDETERMINED,Gaming Console,3/7/19,0
162285,3087,CUSTOMER,All Devices,3/7/19,1.902209077
102523,2480,CUSTOMER,Desktop,3/7/19,2.418969402
11771,78,PROSPECT,Mobile Phone,3/7/19,0.662645485
227320,1049,All Visitors,Mobile Phone,3/7/19,0.461464015
6,0,CUSTOMER,Gaming Console,3/7/19,0
271604,4171,All Visitors,Desktop,3/7/19,1.535691669
1471,4,PROSPECT,Tablet,3/7/19,0.271923861
25405,259,All Visitors,Tablet,3/7/19,1.019484353
26578,163,PROSPECT,All Devices,3/7/19,0.613289187
525185,5479,All Visitors,All Devices,3/7/19,1.043251426
15102,303,CUSTOMER,Tablet,3/29/19,2.006356774
2255,0,UNDETERMINED,Gaming Console,3/29/19,0
264358,4831,CUSTOMER,All Devices,3/29/19,1.827446115
140633,3591,CUSTOMER,Desktop,3/29/19,2.553454737
21094,103,PROSPECT,Mobile Phone,3/29/19,0.488290509
394263,1500,All Visitors,Mobile Phone,3/29/19,0.3804567
12,0,CUSTOMER,Gaming Console,3/29/19,0
267532,4187,All Visitors,Desktop,3/29/19,1.565046424
2675,7,PROSPECT,Tablet,3/29/19,0.261682243
41521,373,All Visitors,Tablet,3/29/19,0.898340599
37694,179,PROSPECT,All Devices,3/29/19,0.474876638
706084,6060,All Visitors,All Devices,3/29/19,0.858254825
13312,69,PROSPECT,Desktop,3/29/19,0.518329327
619,0,PROSPECT,Gaming Console,3/29/19,0
264810,460,UNDETERMINED,Mobile Phone,3/29/19,0.173709452
2886,0,All Visitors,Gaming Console,3/29/19,0
113833,527,UNDETERMINED,Desktop,3/29/19,0.462958896
108682,937,CUSTOMER,Mobile Phone,3/29/19,0.862148286
23803,63,UNDETERMINED,Tablet,3/29/19,0.26467252
404662,1050,UNDETERMINED,All Devices,3/29/19,0.259475809
435,4,PROSPECT,Tablet,2/22/19,0.91954023
43525,648,All Visitors,Tablet,2/22/19,1.48879954
6717,54,PROSPECT,All Devices,2/22/19,0.803930326
788164,13084,All Visitors,All Devices,2/22/19,1.660060597
3013,26,PROSPECT,Desktop,2/22/19,0.862927315
2,0,PROSPECT,Gaming Console,2/22/19,0
350355,3463,UNDETERMINED,Mobile Phone,2/22/19,0.988426025
374,0,All Visitors,Gaming Console,2/22/19,0
362604,8435,UNDETERMINED,Desktop,2/22/19,2.326229165
13225,118,CUSTOMER,Mobile Phone,2/22/19,0.892249527
41597,609,UNDETERMINED,Tablet,2/22/19,1.464047888
754800,12507,UNDETERMINED,All Devices,2/22/19,1.656995231
1827,35,CUSTOMER,Tablet,2/22/19,1.915708812
373,0,UNDETERMINED,Gaming Console,2/22/19,0
33127,523,CUSTOMER,All Devices,2/22/19,1.578772602
18078,370,CUSTOMER,Desktop,2/22/19,2.04668658
3267,24,PROSPECT,Mobile Phone,2/22/19,0.734618916
363480,3605,All Visitors,Mobile Phone,2/22/19,0.991801475
380936,8831,All Visitors,Desktop,2/22/19,2.318237184
280586,4180,All Visitors,Desktop,2/24/19,1.489739331
1,0,All Visitors,E-Reader,2/24/19,0
3368,6,PROSPECT,Tablet,2/24/19,0.178147268
46449,476,All Visitors,Tablet,2/24/19,1.024779866
36653,128,PROSPECT,All Devices,2/24/19,0.349221073
679961,6259,All Visitors,All Devices,2/24/19,0.92049397
14612,51,PROSPECT,Desktop,2/24/19,0.349028196
16,0,PROSPECT,Gaming Console,2/24/19,0
243693,435,UNDETERMINED,Mobile Phone,2/24/19,0.178503281
390,1,All Visitors,Gaming Console,2/24/19,0.256410256
152059,687,UNDETERMINED,Desktop,2/24/19,0.451798315
1,0,UNDETERMINED,E-Reader,2/24/19,0
90549,1096,CUSTOMER,Mobile Phone,2/24/19,1.210394372
27062,58,UNDETERMINED,Tablet,2/24/19,0.214322666
423118,1181,UNDETERMINED,All Devices,2/24/19,0.279118355
16051,412,CUSTOMER,Tablet,2/24/19,2.566818267
361,1,UNDETERMINED,Gaming Console,2/24/19,0.27700831
220731,4950,CUSTOMER,All Devices,2/24/19,2.242548623
114164,3442,CUSTOMER,Desktop,2/24/19,3.014960933
18666,71,PROSPECT,Mobile Phone,2/24/19,0.380370728
