,visitors,orders,customer,device,date,rate,visitors_arima_anomaly,visitors_stl_anomaly,visitors_twitter_anomaly,orders_arima_anomaly,orders_stl_anomaly,orders_twitter_anomaly,rate_arima_anomaly,rate_stl_anomaly,rate_twitter_anomaly
0,644248,5735,All Visitors,All Devices,2019-02-01,0.008901851460928091,0.0,0,0,0.0,0,0,0.0,0,0
1,600854,5154,All Visitors,All Devices,2019-02-02,0.008577790944222721,0.0,0,0,0.0,0,0,0.0,0,0
2,452830,3374,All Visitors,All Devices,2019-02-03,0.00745091977121657,1.0,1,0,1.0,1,0,0.0,1,0
3,636388,5633,All Visitors,All Devices,2019-02-04,0.008851518256158191,0.0,0,0,0.0,0,0,0.0,0,0
4,638629,5693,All Visitors,All Devices,2019-02-05,0.008914408835176609,0.0,0,0,0.0,0,0,0.0,0,0
5,635154,5445,All Visitors,All Devices,2019-02-06,0.00857272409525879,0.0,1,0,0.0,0,0,0.0,0,0
6,696833,6312,All Visitors,All Devices,2019-02-07,0.00905812439996384,0.0,0,0,0.0,0,0,0.0,0,0
7,710880,6088,All Visitors,All Devices,2019-02-08,0.00856403331082602,0.0,0,0,0.0,0,0,0.0,0,0
8,653226,5653,All Visitors,All Devices,2019-02-09,0.0086539727445019,0.0,0,0,0.0,0,0,0.0,0,0
9,637810,5017,All Visitors,All Devices,2019-02-10,0.00786597889653659,0.0,0,0,0.0,0,0,0.0,0,0
10,696586,6118,All Visitors,All Devices,2019-02-11,0.00878283514167669,0.0,0,0,0.0,0,0,0.0,0,0
11,662052,6043,All Visitors,All Devices,2019-02-12,0.009127681813513141,0.0,0,0,0.0,0,0,0.0,1,0
12,668065,5708,All Visitors,All Devices,2019-02-13,0.00854407879472806,0.0,0,0,0.0,0,0,0.0,0,0
13,637245,5130,All Visitors,All Devices,2019-02-14,0.00805027893510345,0.0,0,0,0.0,0,0,0.0,0,0
14,665895,5608,All Visitors,All Devices,2019-02-15,0.00842174817351084,0.0,0,0,0.0,0,0,0.0,0,0
15,631231,5145,All Visitors,All Devices,2019-02-16,0.008150740378720309,0.0,0,0,0.0,0,0,0.0,0,0
