,visitors,orders,customer,device,date,rate,visitors_arima_anomaly,visitors_stl_anomaly,visitors_twitter_anomaly,orders_arima_anomaly,orders_stl_anomaly,orders_twitter_anomaly,rate_arima_anomaly,rate_stl_anomaly,rate_twitter_anomaly
586,154086,3389,CUSTOMER,Desktop,2019-02-01,0.021994211025012,0.0,0,0,0.0,0,0,0.0,0,0
587,113781,2946,CUSTOMER,Desktop,2019-02-02,0.0258918448598624,0.0,0,0,0.0,0,0,0.0,0,0
588,41618,916,CUSTOMER,Desktop,2019-02-03,0.022009707338171,0.0,1,0,1.0,1,0,0.0,0,0
589,110329,2413,CUSTOMER,Desktop,2019-02-04,0.0218709496143353,0.0,1,0,0.0,1,0,0.0,0,0
590,152234,3558,CUSTOMER,Desktop,2019-02-05,0.0233719142898433,0.0,0,0,0.0,0,0,0.0,0,0
591,150209,3329,CUSTOMER,Desktop,2019-02-06,0.0221624536479172,0.0,0,0,0.0,0,0,0.0,0,0
592,157491,3927,CUSTOMER,Desktop,2019-02-07,0.0249347581766577,0.0,0,0,0.0,0,0,0.0,0,0
593,153558,3734,CUSTOMER,Desktop,2019-02-08,0.0243165448885763,0.0,0,0,0.0,0,0,0.0,0,0
594,118793,3296,CUSTOMER,Desktop,2019-02-09,0.0277457425942606,0.0,0,0,0.0,0,0,0.0,0,0
595,113659,2910,CUSTOMER,Desktop,2019-02-10,0.0256028999023395,0.0,0,0,0.0,0,0,0.0,0,0
596,146228,3982,CUSTOMER,Desktop,2019-02-11,0.0272314467817381,0.0,0,0,0.0,0,0,0.0,0,0
597,144775,3911,CUSTOMER,Desktop,2019-02-12,0.0270143325850458,0.0,0,0,0.0,0,0,0.0,0,0
598,152603,3475,CUSTOMER,Desktop,2019-02-13,0.0227715051473431,0.0,0,0,0.0,0,0,0.0,0,0
599,144290,3114,CUSTOMER,Desktop,2019-02-14,0.0215815371820639,0.0,0,0,0.0,0,0,0.0,0,0
600,153677,3289,CUSTOMER,Desktop,2019-02-15,0.0214020315336713,0.0,0,0,0.0,0,0,0.0,0,0
601,116293,2727,CUSTOMER,Desktop,2019-02-16,0.0234493907629866,0.0,0,0,0.0,0,0,0.0,0,0
602,104522,2616,CUSTOMER,Desktop,2019-02-17,0.0250282237232353,0.0,0,0,0.0,0,0,0.0,0,0
