,visitors,orders,customer,device,date,rate,visitors_arima_anomaly,visitors_stl_anomaly,visitors_twitter_anomaly,orders_arima_anomaly,orders_stl_anomaly,orders_twitter_anomaly,rate_arima_anomaly,rate_stl_anomaly,rate_twitter_anomaly
411,79575,833,CUSTOMER,Mobile Phone,2019-02-01,0.0104681118441722,0.0,0,0,0.0,0,0,0.0,0,0
412,82752,970,CUSTOMER,Mobile Phone,2019-02-02,0.0117217710750193,0.0,0,0,0.0,0,0,0.0,0,0
413,32030,294,CUSTOMER,Mobile Phone,2019-02-03,0.009178894786137991,1.0,1,1,1.0,1,0,0.0,1,0
414,48238,485,CUSTOMER,Mobile Phone,2019-02-04,0.0100543140262863,1.0,1,0,0.0,1,0,0.0,0,0
415,77440,795,CUSTOMER,Mobile Phone,2019-02-05,0.0102660123966942,0.0,0,0,0.0,0,0,0.0,0,0
416,79075,787,CUSTOMER,Mobile Phone,2019-02-06,0.00995257666772052,0.0,0,0,0.0,0,0,0.0,0,0
417,93770,998,CUSTOMER,Mobile Phone,2019-02-07,0.0106430628132665,1.0,0,0,1.0,1,0,0.0,0,0
418,85898,893,CUSTOMER,Mobile Phone,2019-02-08,0.0103960511304105,0.0,0,0,0.0,0,0,0.0,0,0
419,91830,1021,CUSTOMER,Mobile Phone,2019-02-09,0.0111183709027551,0.0,0,0,0.0,0,0,0.0,0,0
420,86474,871,CUSTOMER,Mobile Phone,2019-02-10,0.0100723917015519,0.0,0,0,0.0,0,0,0.0,0,0
421,78626,816,CUSTOMER,Mobile Phone,2019-02-11,0.010378246381603999,0.0,0,0,0.0,0,0,0.0,0,0
422,88257,810,CUSTOMER,Mobile Phone,2019-02-12,0.00917774227540025,0.0,0,0,0.0,0,0,0.0,0,0
423,83362,767,CUSTOMER,Mobile Phone,2019-02-13,0.009200834912790001,0.0,0,0,0.0,0,0,0.0,0,0
424,82352,690,CUSTOMER,Mobile Phone,2019-02-14,0.008378667184767829,0.0,0,0,0.0,0,0,0.0,1,0
425,85510,851,CUSTOMER,Mobile Phone,2019-02-15,0.00995205239153315,0.0,0,0,0.0,0,0,0.0,0,0
