,visitors,orders,customer,device,date,rate,visitors_arima_anomaly,visitors_stl_anomaly,visitors_twitter_anomaly,orders_arima_anomaly,orders_stl_anomaly,orders_twitter_anomaly,rate_arima_anomaly,rate_stl_anomaly,rate_twitter_anomaly
761,14111,321,CUSTOMER,Tablet,2019-02-01,0.0227482106158316,0.0,0,0,0.0,0,0,0.0,0,0
762,15636,372,CUSTOMER,Tablet,2019-02-02,0.0237912509593246,0.0,0,0,0.0,0,0,0.0,0,0
763,6216,131,CUSTOMER,Tablet,2019-02-03,0.0210746460746461,1.0,1,1,1.0,1,1,0.0,0,0
764,7674,175,CUSTOMER,Tablet,2019-02-04,0.0228042741725306,1.0,1,1,0.0,1,0,0.0,0,0
765,13388,307,CUSTOMER,Tablet,2019-02-05,0.0229309829698237,0.0,0,0,0.0,0,0,0.0,0,0
766,13652,264,CUSTOMER,Tablet,2019-02-06,0.0193378259595664,0.0,0,0,0.0,0,0,0.0,0,0
767,14759,309,CUSTOMER,Tablet,2019-02-07,0.0209363778033742,0.0,0,0,0.0,0,0,0.0,0,0
768,14291,309,CUSTOMER,Tablet,2019-02-08,0.0216219998600518,0.0,0,0,0.0,1,0,0.0,1,0
769,16583,445,CUSTOMER,Tablet,2019-02-09,0.0268347102454321,0.0,0,0,0.0,0,0,0.0,0,0
770,16178,405,CUSTOMER,Tablet,2019-02-10,0.0250339967857584,0.0,0,0,0.0,0,0,0.0,0,0
771,13255,288,CUSTOMER,Tablet,2019-02-11,0.0217276499434176,0.0,0,0,0.0,0,0,0.0,0,0
772,14246,272,CUSTOMER,Tablet,2019-02-12,0.0190930787589499,0.0,0,0,0.0,0,0,0.0,0,0
773,13628,267,CUSTOMER,Tablet,2019-02-13,0.0195920164367479,0.0,0,0,0.0,0,0,0.0,0,0
774,13313,259,CUSTOMER,Tablet,2019-02-14,0.0194546683692631,0.0,0,0,0.0,0,0,0.0,0,0
775,14192,341,CUSTOMER,Tablet,2019-02-15,0.0240276211950395,0.0,0,0,0.0,0,0,0.0,0,0
776,15588,374,CUSTOMER,Tablet,2019-02-16,0.0239928149858866,0.0,0,0,0.0,0,0,0.0,0,0
777,14675,342,CUSTOMER,Tablet,2019-02-17,0.0233049403747871,0.0,0,0,0.0,0,0,0.0,0,0
778,14472,386,CUSTOMER,Tablet,2019-02-18,0.0266721945826423,0.0,0,0,0.0,1,0,0.0,1,0
779,13915,265,CUSTOMER,Tablet,2019-02-19,0.0190441969098096,0.0,0,0,0.0,0,0,0.0,0,0
780,16598,333,CUSTOMER,Tablet,2019-02-20,0.0200626581515845,0.0,0,0,0.0,0,0,0.0,0,0
781,16735,362,CUSTOMER,Tablet,2019-02-21,0.0216313116223484,0.0,0,0,0.0,0,0,0.0,0,0
782,1827,35,CUSTOMER,Tablet,2019-02-22,0.0191570881226054,1.0,1,1,1.0,1,1,0.0,1,0
783,16956,491,CUSTOMER,Tablet,2019-02-23,0.0289573012502949,0.0,0,0,1.0,0,0,1.0,0,0
784,16051,412,CUSTOMER,Tablet,2019-02-24,0.0256681826677466,0.0,0,0,0.0,0,0,0.0,0,0
785,12712,345,CUSTOMER,Tablet,2019-02-25,0.0271397105097546,0.0,0,0,0.0,0,0,0.0,0,0
786,13496,350,CUSTOMER,Tablet,2019-02-26,0.0259336099585062,0.0,0,0,0.0,0,0,0.0,0,0
787,13761,370,CUSTOMER,Tablet,2019-02-27,0.0268875808444154,0.0,0,0,0.0,0,0,0.0,0,0
788,12091,310,CUSTOMER,Tablet,2019-02-28,0.0256389049706393,0.0,1,0,0.0,0,0,0.0,0,0
789,16156,383,CUSTOMER,Tablet,2019-03-01,0.023706362961128997,0.0,0,0,0.0,0,0,0.0,1,0
