,visitors,orders,customer,device,date,rate,visitors_arima_anomaly,visitors_stl_anomaly,visitors_twitter_anomaly,orders_arima_anomaly,orders_stl_anomaly,orders_twitter_anomaly,rate_arima_anomaly,rate_stl_anomaly,rate_twitter_anomaly
644,21987,98,PROSPECT,Desktop,2019-02-01,0.00445717924227953,0.0,0,0,0.0,0,0,0.0,0,0
645,17583,75,PROSPECT,Desktop,2019-02-02,0.00426548370585224,0.0,0,0,0.0,0,0,0.0,0,0
646,6593,26,PROSPECT,Desktop,2019-02-03,0.0039435765205521,1.0,1,0,1.0,1,0,0.0,0,0
647,14170,70,PROSPECT,Desktop,2019-02-04,0.0049400141143260395,0.0,1,0,0.0,0,0,0.0,0,0
648,18790,82,PROSPECT,Desktop,2019-02-05,0.004364023416711021,0.0,0,0,0.0,0,0,0.0,0,0
649,21437,98,PROSPECT,Desktop,2019-02-06,0.00457153519615618,0.0,0,0,0.0,0,0,0.0,0,0
650,19949,95,PROSPECT,Desktop,2019-02-07,0.00476214346583789,0.0,0,0,0.0,0,0,0.0,0,0
651,19641,72,PROSPECT,Desktop,2019-02-08,0.00366580113028868,0.0,0,0,0.0,0,0,0.0,0,0
652,19224,82,PROSPECT,Desktop,2019-02-09,0.00426550145651269,0.0,0,0,0.0,0,0,1.0,0,0
653,18867,86,PROSPECT,Desktop,2019-02-10,0.00455822335294429,0.0,0,0,0.0,0,0,0.0,0,0
654,23133,102,PROSPECT,Desktop,2019-02-11,0.00440928543638957,0.0,0,0,0.0,0,0,0.0,0,0
655,22499,96,PROSPECT,Desktop,2019-02-12,0.00426685630472465,0.0,0,0,0.0,0,0,1.0,0,0
656,22727,95,PROSPECT,Desktop,2019-02-13,0.00418005016060193,0.0,0,0,0.0,0,0,0.0,0,0
657,22154,90,PROSPECT,Desktop,2019-02-14,0.00406247178839036,0.0,0,0,0.0,0,0,0.0,0,0
658,22247,113,PROSPECT,Desktop,2019-02-15,0.005079336539758171,0.0,0,0,0.0,0,0,1.0,0,0
659,19629,103,PROSPECT,Desktop,2019-02-16,0.00524733812216618,0.0,0,0,0.0,0,0,1.0,0,0
660,16230,74,PROSPECT,Desktop,2019-02-17,0.00455945779420826,0.0,0,0,0.0,0,0,0.0,0,0
661,19964,74,PROSPECT,Desktop,2019-02-18,0.0037066720096173103,0.0,0,0,0.0,0,0,0.0,0,0
662,18469,66,PROSPECT,Desktop,2019-02-19,0.0035735556879094702,0.0,1,0,0.0,0,0,1.0,0,0
663,26020,118,PROSPECT,Desktop,2019-02-20,0.00453497309761722,0.0,0,0,0.0,0,0,0.0,0,0
664,28100,117,PROSPECT,Desktop,2019-02-21,0.00416370106761566,0.0,1,0,0.0,0,0,1.0,0,0
665,3013,26,PROSPECT,Desktop,2019-02-22,0.0086292731496847,1.0,1,1,1.0,1,0,1.0,1,1
666,16210,79,PROSPECT,Desktop,2019-02-23,0.00487353485502776,0.0,0,0,0.0,0,0,0.0,0,0
667,14612,51,PROSPECT,Desktop,2019-02-24,0.00349028196003285,0.0,0,0,0.0,0,0,0.0,0,0
668,18804,68,PROSPECT,Desktop,2019-02-25,0.00361625186130611,0.0,0,0,0.0,0,0,0.0,0,0
669,22334,104,PROSPECT,Desktop,2019-02-26,0.00465657741559953,0.0,0,0,0.0,0,0,0.0,0,0
670,19058,139,PROSPECT,Desktop,2019-02-27,0.00729352502885927,0.0,0,0,1.0,0,0,1.0,0,0
671,17938,122,PROSPECT,Desktop,2019-02-28,0.00680120414761958,0.0,0,0,0.0,0,0,0.0,0,0
672,21022,137,PROSPECT,Desktop,2019-03-01,0.00651698220911426,0.0,0,0,0.0,0,0,1.0,0,0
673,16990,109,PROSPECT,Desktop,2019-03-02,0.00641553855208946,0.0,0,0,0.0,0,0,0.0,0,0
674,16631,95,PROSPECT,Desktop,2019-03-03,0.00571222415970176,0.0,0,0,0.0,0,0,0.0,0,0
675,22435,131,PROSPECT,Desktop,2019-03-04,0.0058390907064854,0.0,0,0,0.0,0,0,0.0,0,0
676,21460,125,PROSPECT,Desktop,2019-03-05,0.00582479030754893,0.0,0,0,0.0,0,0,0.0,0,0
677,21619,136,PROSPECT,Desktop,2019-03-06,0.00629076275498404,0.0,0,0,1.0,0,0,0.0,0,0
678,13215,81,PROSPECT,Desktop,2019-03-07,0.00612939841089671,1.0,0,0,0.0,0,0,0.0,0,0
679,11646,53,PROSPECT,Desktop,2019-03-09,0.00455091877039327,0.0,0,0,0.0,0,0,0.0,0,0
