,visitors,orders,customer,device,date,rate,visitors_arima_anomaly,visitors_stl_anomaly,visitors_twitter_anomaly,orders_arima_anomaly,orders_stl_anomaly,orders_twitter_anomaly,rate_arima_anomaly,rate_stl_anomaly,rate_twitter_anomaly
469,20600,109,PROSPECT,Mobile Phone,2019-02-01,0.0052912621359223295,0.0,0,0,0.0,0,0,0.0,0,0
470,20558,88,PROSPECT,Mobile Phone,2019-02-02,0.00428057204008172,0.0,0,0,0.0,0,0,0.0,0,0
471,8892,31,PROSPECT,Mobile Phone,2019-02-03,0.00348627980206928,1.0,1,0,1.0,1,0,0.0,0,0
472,11000,60,PROSPECT,Mobile Phone,2019-02-04,0.00545454545454545,0.0,1,0,0.0,1,0,0.0,0,0
473,16361,78,PROSPECT,Mobile Phone,2019-02-05,0.0047674347533769295,0.0,0,0,0.0,0,0,0.0,0,0
474,19504,106,PROSPECT,Mobile Phone,2019-02-06,0.00543478260869565,0.0,0,0,0.0,0,0,0.0,0,0
475,17452,85,PROSPECT,Mobile Phone,2019-02-07,0.004870501948200779,0.0,0,0,0.0,0,0,0.0,0,0
476,16263,98,PROSPECT,Mobile Phone,2019-02-08,0.00602594847199164,0.0,0,0,0.0,0,0,0.0,1,0
477,23234,91,PROSPECT,Mobile Phone,2019-02-09,0.00391667384006198,0.0,0,0,0.0,0,0,0.0,0,0
478,24476,87,PROSPECT,Mobile Phone,2019-02-10,0.00355450236966825,0.0,0,0,0.0,0,0,0.0,0,0
479,22494,97,PROSPECT,Mobile Phone,2019-02-11,0.0043122610473904106,0.0,0,0,0.0,0,0,0.0,0,0
480,21891,91,PROSPECT,Mobile Phone,2019-02-12,0.00415695948106528,0.0,0,0,0.0,0,0,0.0,0,0
481,21427,110,PROSPECT,Mobile Phone,2019-02-13,0.00513370980538573,0.0,0,0,0.0,0,0,0.0,0,0
482,20957,95,PROSPECT,Mobile Phone,2019-02-14,0.00453309156844968,0.0,0,0,0.0,0,0,0.0,0,0
483,20868,97,PROSPECT,Mobile Phone,2019-02-15,0.00464826528656316,0.0,0,0,0.0,0,0,0.0,0,0
