,visitors,orders,customer,device,date,rate,visitors_arima_anomaly,visitors_stl_anomaly,visitors_twitter_anomaly,orders_arima_anomaly,orders_stl_anomaly,orders_twitter_anomaly,rate_arima_anomaly,rate_stl_anomaly,rate_twitter_anomaly
819,3956,10,PROSPECT,Tablet,2019-02-01,0.0025278058645096103,0.0,0,0,0.0,0,0,0.0,0,0
820,3923,8,PROSPECT,Tablet,2019-02-02,0.00203925567167984,1.0,0,0,0.0,0,0,0.0,0,0
821,1605,4,PROSPECT,Tablet,2019-02-03,0.00249221183800623,1.0,1,0,0.0,0,0,0.0,0,0
822,1718,6,PROSPECT,Tablet,2019-02-04,0.00349243306169965,0.0,1,0,0.0,0,0,0.0,0,0
823,2844,4,PROSPECT,Tablet,2019-02-05,0.00140646976090014,0.0,0,0,0.0,0,0,0.0,0,0
824,3428,7,PROSPECT,Tablet,2019-02-06,0.00204200700116686,0.0,0,0,0.0,0,0,0.0,0,0
825,3191,5,PROSPECT,Tablet,2019-02-07,0.00156690692572861,0.0,0,0,0.0,0,0,0.0,0,0
826,2802,8,PROSPECT,Tablet,2019-02-08,0.00285510349750178,0.0,1,0,0.0,0,0,0.0,0,0
827,4242,10,PROSPECT,Tablet,2019-02-09,0.00235737859500236,1.0,0,0,0.0,0,0,0.0,0,0
828,4433,8,PROSPECT,Tablet,2019-02-10,0.0018046469659372898,0.0,0,0,0.0,0,0,0.0,0,0
829,4135,13,PROSPECT,Tablet,2019-02-11,0.00314389359129383,0.0,0,0,0.0,0,0,0.0,0,0
830,4297,6,PROSPECT,Tablet,2019-02-12,0.00139632301605771,0.0,0,0,0.0,0,0,0.0,0,0
831,3924,16,PROSPECT,Tablet,2019-02-13,0.00407747196738022,0.0,0,0,0.0,0,0,0.0,0,0
832,3754,15,PROSPECT,Tablet,2019-02-14,0.0039957378795951,0.0,0,0,0.0,0,0,0.0,0,0
833,3739,9,PROSPECT,Tablet,2019-02-15,0.00240706071142017,0.0,0,0,0.0,0,0,0.0,0,0
834,4192,10,PROSPECT,Tablet,2019-02-16,0.00238549618320611,0.0,0,0,0.0,0,0,0.0,0,0
835,3693,7,PROSPECT,Tablet,2019-02-17,0.0018954779312212301,0.0,0,0,0.0,0,0,0.0,0,0
836,2954,5,PROSPECT,Tablet,2019-02-18,0.0016926201760325,0.0,0,0,0.0,0,0,0.0,0,0
837,2941,3,PROSPECT,Tablet,2019-02-19,0.00102006120367222,0.0,1,0,0.0,0,0,0.0,0,0
838,4206,10,PROSPECT,Tablet,2019-02-20,0.00237755587256301,1.0,0,0,0.0,0,0,0.0,0,0
839,4401,5,PROSPECT,Tablet,2019-02-21,0.0011361054305839599,0.0,1,0,0.0,0,0,0.0,0,0
840,435,4,PROSPECT,Tablet,2019-02-22,0.009195402298850571,1.0,1,1,0.0,0,0,1.0,1,1
841,3512,10,PROSPECT,Tablet,2019-02-23,0.00284738041002278,0.0,0,0,0.0,0,0,0.0,0,0
842,3368,6,PROSPECT,Tablet,2019-02-24,0.0017814726840855101,0.0,0,0,0.0,0,0,0.0,0,0
843,2415,4,PROSPECT,Tablet,2019-02-25,0.00165631469979296,0.0,0,0,0.0,0,0,0.0,0,0
844,3079,10,PROSPECT,Tablet,2019-02-26,0.0032478077297824,0.0,0,0,0.0,0,0,0.0,0,0
845,2816,8,PROSPECT,Tablet,2019-02-27,0.0028409090909090897,0.0,0,0,0.0,0,0,0.0,0,0
846,2891,7,PROSPECT,Tablet,2019-02-28,0.0024213075060532697,0.0,0,0,0.0,0,0,0.0,0,0
847,3314,14,PROSPECT,Tablet,2019-03-01,0.00422450211225106,0.0,0,0,0.0,0,0,0.0,0,0
848,3449,12,PROSPECT,Tablet,2019-03-02,0.00347926935343578,0.0,0,0,0.0,0,0,0.0,0,0
849,3524,10,PROSPECT,Tablet,2019-03-03,0.0028376844494892198,0.0,0,0,0.0,0,0,0.0,0,0
850,3155,14,PROSPECT,Tablet,2019-03-04,0.00443740095087163,0.0,0,0,0.0,0,0,0.0,0,0
851,2817,10,PROSPECT,Tablet,2019-03-05,0.0035498757543486,0.0,0,0,0.0,0,0,0.0,0,0
852,3076,11,PROSPECT,Tablet,2019-03-06,0.00357607282184655,0.0,0,0,0.0,0,0,0.0,0,0
853,1471,4,PROSPECT,Tablet,2019-03-07,0.00271923861318831,1.0,1,0,0.0,0,0,0.0,0,0
854,2576,2,PROSPECT,Tablet,2019-03-09,0.00077639751552795,0.0,0,0,0.0,0,0,0.0,0,0
855,3290,10,PROSPECT,Tablet,2019-03-10,0.00303951367781155,0.0,0,0,0.0,0,0,0.0,0,0
856,2957,9,PROSPECT,Tablet,2019-03-11,0.0030436252959080102,0.0,0,0,0.0,0,0,0.0,0,0
857,3107,14,PROSPECT,Tablet,2019-03-12,0.00450595429674928,0.0,0,0,0.0,0,0,0.0,0,0
858,3156,5,PROSPECT,Tablet,2019-03-13,0.0015842839036755401,0.0,0,0,0.0,0,0,0.0,0,0
859,2847,6,PROSPECT,Tablet,2019-03-14,0.00210748155953635,0.0,0,0,0.0,0,0,0.0,0,0
860,2491,12,PROSPECT,Tablet,2019-03-15,0.00481734243275793,0.0,0,0,0.0,0,0,0.0,0,0
861,3358,6,PROSPECT,Tablet,2019-03-16,0.0017867778439547301,0.0,0,0,0.0,0,0,0.0,0,0
862,3474,11,PROSPECT,Tablet,2019-03-17,0.0031663788140472104,0.0,0,0,0.0,0,0,0.0,0,0
863,3215,3,PROSPECT,Tablet,2019-03-18,0.0009331259720062211,0.0,0,0,0.0,0,0,0.0,0,0
864,3071,8,PROSPECT,Tablet,2019-03-19,0.00260501465320742,0.0,0,0,0.0,0,0,0.0,0,0
865,2772,12,PROSPECT,Tablet,2019-03-20,0.00432900432900433,0.0,0,0,0.0,0,0,0.0,1,0
866,1451,3,PROSPECT,Tablet,2019-03-21,0.00206753962784287,1.0,1,0,0.0,1,0,0.0,0,0
867,3099,14,PROSPECT,Tablet,2019-03-22,0.00451758631816715,0.0,0,0,0.0,0,0,0.0,0,0
868,3694,8,PROSPECT,Tablet,2019-03-23,0.00216567406605306,1.0,0,0,0.0,0,0,0.0,0,0
869,3773,8,PROSPECT,Tablet,2019-03-24,0.0021203286509409,0.0,0,0,0.0,0,0,0.0,0,0
870,3597,11,PROSPECT,Tablet,2019-03-25,0.00305810397553517,0.0,0,0,0.0,0,0,0.0,0,0
871,3336,18,PROSPECT,Tablet,2019-03-26,0.00539568345323741,0.0,0,0,0.0,1,0,0.0,1,0
872,142,0,PROSPECT,Tablet,2019-03-27,0.0,1.0,1,1,0.0,0,0,1.0,0,0
873,804,1,PROSPECT,Tablet,2019-03-28,0.00124378109452736,0.0,1,1,0.0,0,0,0.0,0,0
874,2675,7,PROSPECT,Tablet,2019-03-29,0.00261682242990654,1.0,0,0,0.0,0,0,0.0,0,0
875,3854,5,PROSPECT,Tablet,2019-03-30,0.0012973533990659099,1.0,1,0,0.0,0,0,0.0,0,0
876,3235,7,PROSPECT,Tablet,2019-03-31,0.0021638330757341603,0.0,0,0,0.0,0,0,0.0,0,0
