Visitor,Order,Customer,Device,Date,Rate,Source
13030,291,Customer,Tablet,3/12/2019,0.022333077513430544,Customer Tablet
161097,3820,Customer,Desktop,3/12/2019,0.02371242170866,Customer Desktop
21400,90,Prospect,Mobile Phone,3/12/2019,0.004205607476635514,Prospect Mobile Phone
3107,14,Prospect,Tablet,3/12/2019,0.004505954296749276,Prospect Tablet
20966,103,Prospect,Desktop,3/12/2019,0.0049127158256224365,Prospect Desktop
172380,304,Undetermined,Mobile Phone,3/12/2019,0.0017635456549483699,Undetermined Mobile Phone
170359,651,Undetermined,Desktop,3/12/2019,0.0038213419895632155,Undetermined Desktop
77045,767,Customer,Mobile Phone,3/12/2019,0.009955220974755014,Customer Mobile Phone
17273,69,Undetermined,Tablet,3/12/2019,0.0039946737683089215,Undetermined Tablet
1605,4,Prospect,Tablet,2/3/2019,0.0024922118380062306,Prospect Tablet
6593,26,Prospect,Desktop,2/3/2019,0.0039435765205521,Prospect Desktop
189335,597,Undetermined,Mobile Phone,2/3/2019,0.003153141257559353,Undetermined Mobile Phone
143947,1216,Undetermined,Desktop,2/3/2019,0.00844755361348274,Undetermined Desktop
32030,294,Customer,Mobile Phone,2/3/2019,0.009178894786137995,Customer Mobile Phone
29660,157,Undetermined,Tablet,2/3/2019,0.005293324342548887,Undetermined Tablet
6216,131,Customer,Tablet,2/3/2019,0.021074646074646076,Customer Tablet
41618,916,Customer,Desktop,2/3/2019,0.022009707338170984,Customer Desktop
8892,31,Prospect,Mobile Phone,2/3/2019,0.003486279802069276,Prospect Mobile Phone
83629,1897,Customer,Desktop,3/21/2019,0.022683518875031387,Customer Desktop
12103,58,Prospect,Mobile Phone,3/21/2019,0.004792200280922085,Prospect Mobile Phone
1451,3,Prospect,Tablet,3/21/2019,0.0020675396278428673,Prospect Tablet
10019,49,Prospect,Desktop,3/21/2019,0.004890707655454636,Prospect Desktop
278565,801,Undetermined,Mobile Phone,3/21/2019,0.0028754509719455066,Undetermined Mobile Phone
185557,2219,Undetermined,Desktop,3/21/2019,0.01195858954391373,Undetermined Desktop
56338,374,Customer,Mobile Phone,3/21/2019,0.006638503319251659,Customer Mobile Phone
29032,240,Undetermined,Tablet,3/21/2019,0.008266740148801324,Undetermined Tablet
7882,142,Customer,Tablet,3/21/2019,0.018015732047703632,Customer Tablet
13215,81,Prospect,Desktop,3/7/2019,0.006129398410896709,Prospect Desktop
166757,513,Undetermined,Mobile Phone,3/7/2019,0.003076332627715778,Undetermined Mobile Phone
159627,1610,Undetermined,Desktop,3/7/2019,0.010086013017847858,Undetermined Desktop
52630,458,Customer,Mobile Phone,3/7/2019,0.008702261067832034,Customer Mobile Phone
17178,106,Undetermined,Tablet,3/7/2019,0.006170683432297124,Undetermined Tablet
7143,149,Customer,Tablet,3/7/2019,0.020859582808343838,Customer Tablet
102523,2480,Customer,Desktop,3/7/2019,0.02418969401987846,Customer Desktop
11771,78,Prospect,Mobile Phone,3/7/2019,0.006626454846657038,Prospect Mobile Phone
1471,4,Prospect,Tablet,3/7/2019,0.002719238613188307,Prospect Tablet
15102,303,Customer,Tablet,3/29/2019,0.02006356773937227,Customer Tablet
140633,3591,Customer,Desktop,3/29/2019,0.02553454736797196,Customer Desktop
21094,103,Prospect,Mobile Phone,3/29/2019,0.0048829050914952115,Prospect Mobile Phone
2675,7,Prospect,Tablet,3/29/2019,0.002616822429906542,Prospect Tablet
13312,69,Prospect,Desktop,3/29/2019,0.005183293269230769,Prospect Desktop
264810,460,Undetermined,Mobile Phone,3/29/2019,0.0017370945205996751,Undetermined Mobile Phone
113833,527,Undetermined,Desktop,3/29/2019,0.004629588959264889,Undetermined Desktop
108682,937,Customer,Mobile Phone,3/29/2019,0.008621482858246996,Customer Mobile Phone
23803,63,Undetermined,Tablet,3/29/2019,0.002646725202705541,Undetermined Tablet
435,4,Prospect,Tablet,2/22/2019,0.009195402298850576,Prospect Tablet
3013,26,Prospect,Desktop,2/22/2019,0.0086292731496847,Prospect Desktop
350355,3463,Undetermined,Mobile Phone,2/22/2019,0.009884260250317536,Undetermined Mobile Phone
362604,8435,Undetermined,Desktop,2/22/2019,0.023262291645982945,Undetermined Desktop
13225,118,Customer,Mobile Phone,2/22/2019,0.00892249527410208,Customer Mobile Phone
41597,609,Undetermined,Tablet,2/22/2019,0.014640478880688512,Undetermined Tablet
1827,35,Customer,Tablet,2/22/2019,0.019157088122605363,Customer Tablet
18078,370,Customer,Desktop,2/22/2019,0.02046686580373935,Customer Desktop
3267,24,Prospect,Mobile Phone,2/22/2019,0.007346189164370982,Prospect Mobile Phone
3368,6,Prospect,Tablet,2/24/2019,0.001781472684085511,Prospect Tablet
14612,51,Prospect,Desktop,2/24/2019,0.0034902819600328497,Prospect Desktop
243693,435,Undetermined,Mobile Phone,2/24/2019,0.001785032807671948,Undetermined Mobile Phone
152059,687,Undetermined,Desktop,2/24/2019,0.004517983151276807,Undetermined Desktop
90549,1096,Customer,Mobile Phone,2/24/2019,0.012103943721079195,Customer Mobile Phone
27062,58,Undetermined,Tablet,2/24/2019,0.002143226664695884,Undetermined Tablet
16051,412,Customer,Tablet,2/24/2019,0.02566818266774656,Customer Tablet
114164,3442,Customer,Desktop,2/24/2019,0.03014960933394065,Customer Desktop
18666,71,Prospect,Mobile Phone,2/24/2019,0.0038037072752598313,Prospect Mobile Phone
26020,118,Prospect,Desktop,2/20/2019,0.0045349730976172176,Prospect Desktop
218535,605,Undetermined,Mobile Phone,2/20/2019,0.0027684352620861645,Undetermined Mobile Phone
196671,1235,Undetermined,Desktop,2/20/2019,0.006279522654585578,Undetermined Desktop
107535,1250,Customer,Mobile Phone,2/20/2019,0.011624122378760404,Customer Mobile Phone
25169,101,Undetermined,Tablet,2/20/2019,0.004012872978664229,Undetermined Tablet
16598,333,Customer,Tablet,2/20/2019,0.020062658151584527,Customer Tablet
177510,4292,Customer,Desktop,2/20/2019,0.0241789194974931,Customer Desktop
25639,95,Prospect,Mobile Phone,2/20/2019,0.003705292718124732,Prospect Mobile Phone
4206,10,Prospect,Tablet,2/20/2019,0.002377555872563005,Prospect Tablet
78615,864,Customer,Mobile Phone,2/25/2019,0.01099026903262736,Customer Mobile Phone
22099,58,Undetermined,Tablet,2/25/2019,0.0026245531472012308,Undetermined Tablet
12712,345,Customer,Tablet,2/25/2019,0.02713971050975456,Customer Tablet
158064,4095,Customer,Desktop,2/25/2019,0.025907227452171274,Customer Desktop
15417,46,Prospect,Mobile Phone,2/25/2019,0.0029837192709346824,Prospect Mobile Phone
2415,4,Prospect,Tablet,2/25/2019,0.0016563146997929607,Prospect Tablet
18804,68,Prospect,Desktop,2/25/2019,0.0036162518613061046,Prospect Desktop
212441,355,Undetermined,Mobile Phone,2/25/2019,0.001671052198022039,Undetermined Mobile Phone
182449,837,Undetermined,Desktop,2/25/2019,0.004587583379464946,Undetermined Desktop
48238,485,Customer,Mobile Phone,2/4/2019,0.010054314026286329,Customer Mobile Phone
29149,179,Undetermined,Tablet,2/4/2019,0.006140862465264674,Undetermined Tablet
7674,175,Customer,Tablet,2/4/2019,0.022804274172530625,Customer Tablet
110329,2413,Customer,Desktop,2/4/2019,0.021870949614335302,Customer Desktop
11000,60,Prospect,Mobile Phone,2/4/2019,0.005454545454545455,Prospect Mobile Phone
1718,6,Prospect,Tablet,2/4/2019,0.003492433061699651,Prospect Tablet
14170,70,Prospect,Desktop,2/4/2019,0.00494001411432604,Prospect Desktop
213592,623,Undetermined,Mobile Phone,2/4/2019,0.0029167759092100826,Undetermined Mobile Phone
211332,1621,Undetermined,Desktop,2/4/2019,0.007670395396816381,Undetermined Desktop
14675,342,Customer,Tablet,2/17/2019,0.02330494037478705,Customer Tablet
104522,2616,Customer,Desktop,2/17/2019,0.0250282237232353,Customer Desktop
19692,76,Prospect,Mobile Phone,2/17/2019,0.0038594353036766203,Prospect Mobile Phone
3693,7,Prospect,Tablet,2/17/2019,0.0018954779312212293,Prospect Tablet
16230,74,Prospect,Desktop,2/17/2019,0.004559457794208257,Prospect Desktop
199485,247,Undetermined,Mobile Phone,2/17/2019,0.0012381883349625285,Undetermined Mobile Phone
140452,545,Undetermined,Desktop,2/17/2019,0.0038803292227949757,Undetermined Desktop
80231,763,Customer,Mobile Phone,2/17/2019,0.009510039760192443,Customer Mobile Phone
24943,52,Undetermined,Tablet,2/17/2019,0.0020847532373812288,Undetermined Tablet
3474,11,Prospect,Tablet,3/17/2019,0.0031663788140472078,Prospect Tablet
14915,72,Prospect,Desktop,3/17/2019,0.004827355011733154,Prospect Desktop
