,visitors,orders,customer,device,date,rate,visitors_arima_anomaly,visitors_stl_anomaly,visitors_twitter_anomaly,orders_arima_anomaly,orders_stl_anomaly,orders_twitter_anomaly,rate_arima_anomaly,rate_stl_anomaly,rate_twitter_anomaly
702,158023,586,UNDETERMINED,Desktop,2019-02-01,0.0037083209406225705,0.0,0,0,1.0,0,0,0.0,0,0
703,135686,377,UNDETERMINED,Desktop,2019-02-02,0.00277847382928231,0.0,0,0,1.0,0,0,0.0,0,0
704,143947,1216,UNDETERMINED,Desktop,2019-02-03,0.00844755361348274,0.0,0,0,0.0,1,1,1.0,1,1
705,211332,1621,UNDETERMINED,Desktop,2019-02-04,0.00767039539681638,0.0,1,0,1.0,1,1,0.0,1,1
706,160267,556,UNDETERMINED,Desktop,2019-02-05,0.00346921075455334,0.0,0,0,0.0,0,0,1.0,0,0
707,155046,535,UNDETERMINED,Desktop,2019-02-06,0.00345058885750035,0.0,0,0,0.0,0,0,0.0,0,0
708,167437,534,UNDETERMINED,Desktop,2019-02-07,0.0031892592437752698,0.0,0,0,0.0,0,0,0.0,0,0
709,179007,571,UNDETERMINED,Desktop,2019-02-08,0.0031898193925377198,0.0,1,0,0.0,0,0,0.0,0,0
710,144951,388,UNDETERMINED,Desktop,2019-02-09,0.00267676663148236,0.0,0,0,1.0,0,0,1.0,0,0
711,140591,353,UNDETERMINED,Desktop,2019-02-10,0.0025108292849471197,0.0,0,0,0.0,0,0,0.0,0,0
712,176326,528,UNDETERMINED,Desktop,2019-02-11,0.00299445345553123,0.0,0,0,0.0,0,0,0.0,0,0
713,160759,564,UNDETERMINED,Desktop,2019-02-12,0.00350835723038835,0.0,0,0,0.0,0,0,0.0,0,0
714,168143,649,UNDETERMINED,Desktop,2019-02-13,0.0038598098047495297,0.0,0,0,0.0,0,0,0.0,0,0
715,157083,576,UNDETERMINED,Desktop,2019-02-14,0.00366685128244304,0.0,0,0,0.0,0,0,0.0,0,0
716,159781,554,UNDETERMINED,Desktop,2019-02-15,0.0034672457926787303,0.0,0,0,0.0,0,0,0.0,0,0
717,143518,612,UNDETERMINED,Desktop,2019-02-16,0.00426427347092351,0.0,0,0,0.0,0,0,0.0,0,0
718,140452,545,UNDETERMINED,Desktop,2019-02-17,0.0038803292227949796,0.0,0,0,1.0,0,0,0.0,0,0
719,176174,797,UNDETERMINED,Desktop,2019-02-18,0.00452393656271641,0.0,0,0,1.0,0,0,0.0,0,0
720,169224,882,UNDETERMINED,Desktop,2019-02-19,0.0052120266628847,0.0,0,0,0.0,0,0,1.0,0,0
721,196671,1235,UNDETERMINED,Desktop,2019-02-20,0.006279522654585579,1.0,0,0,1.0,0,0,1.0,0,0
722,193744,788,UNDETERMINED,Desktop,2019-02-21,0.00406722272689735,1.0,0,0,1.0,1,0,0.0,1,0
