,visitors,orders,customer,device,date,rate,visitors_arima_anomaly,visitors_stl_anomaly,visitors_twitter_anomaly,orders_arima_anomaly,orders_stl_anomaly,orders_twitter_anomaly,rate_arima_anomaly,rate_stl_anomaly,rate_twitter_anomaly
527,171096,346,UNDETERMINED,Mobile Phone,2019-02-01,0.0020222565109646,0.0,0,0,0.0,0,0,0.0,0,0
528,186678,268,UNDETERMINED,Mobile Phone,2019-02-02,0.00143562712263898,0.0,0,0,0.0,0,0,1.0,0,0
529,189335,597,UNDETERMINED,Mobile Phone,2019-02-03,0.00315314125755935,0.0,0,0,0.0,1,1,1.0,1,1
530,213592,623,UNDETERMINED,Mobile Phone,2019-02-04,0.00291677590921008,1.0,1,0,0.0,1,1,1.0,1,1
531,176346,272,UNDETERMINED,Mobile Phone,2019-02-05,0.00154242228346546,1.0,0,0,1.0,0,0,0.0,0,0
532,171252,279,UNDETERMINED,Mobile Phone,2019-02-06,0.0016291780533949998,0.0,0,0,0.0,0,0,0.0,0,0
533,199045,314,UNDETERMINED,Mobile Phone,2019-02-07,0.00157753271873195,1.0,0,0,0.0,0,0,0.0,0,0
534,214753,360,UNDETERMINED,Mobile Phone,2019-02-08,0.0016763444515326901,0.0,0,0,0.0,0,0,0.0,0,0
535,208904,287,UNDETERMINED,Mobile Phone,2019-02-09,0.0013738367862750401,0.0,0,0,0.0,0,0,1.0,0,0
536,207942,249,UNDETERMINED,Mobile Phone,2019-02-10,0.00119744928874398,0.0,0,0,1.0,0,0,0.0,0,0
537,208457,250,UNDETERMINED,Mobile Phone,2019-02-11,0.00119928810258231,0.0,0,0,0.0,0,0,0.0,0,0
538,183123,251,UNDETERMINED,Mobile Phone,2019-02-12,0.00137066343386685,0.0,0,0,0.0,0,0,0.0,0,0
539,181897,280,UNDETERMINED,Mobile Phone,2019-02-13,0.00153933269927486,0.0,0,0,0.0,0,0,0.0,0,0
540,174687,262,UNDETERMINED,Mobile Phone,2019-02-14,0.00149982540200473,0.0,0,0,1.0,0,0,1.0,0,0
541,185715,294,UNDETERMINED,Mobile Phone,2019-02-15,0.00158307083434294,0.0,0,0,0.0,0,0,0.0,0,0
542,196988,257,UNDETERMINED,Mobile Phone,2019-02-16,0.00130464799886287,0.0,0,0,0.0,0,0,0.0,0,0
543,199485,247,UNDETERMINED,Mobile Phone,2019-02-17,0.00123818833496253,0.0,0,0,0.0,0,0,0.0,0,0
544,204151,338,UNDETERMINED,Mobile Phone,2019-02-18,0.0016556372488991,0.0,0,0,1.0,0,0,1.0,0,0
545,181657,330,UNDETERMINED,Mobile Phone,2019-02-19,0.0018166104251418898,0.0,0,0,0.0,1,0,0.0,0,0
546,218535,605,UNDETERMINED,Mobile Phone,2019-02-20,0.00276843526208616,1.0,0,0,1.0,0,1,1.0,0,0
547,230827,403,UNDETERMINED,Mobile Phone,2019-02-21,0.0017458962772985802,0.0,0,0,1.0,1,0,1.0,1,0
548,350355,3463,UNDETERMINED,Mobile Phone,2019-02-22,0.00988426025031753,1.0,1,1,1.0,1,1,1.0,1,1
549,234022,354,UNDETERMINED,Mobile Phone,2019-02-23,0.00151267829520302,0.0,0,0,0.0,0,0,0.0,0,0
550,243693,435,UNDETERMINED,Mobile Phone,2019-02-24,0.00178503280767195,0.0,0,0,0.0,0,0,0.0,0,0
551,212441,355,UNDETERMINED,Mobile Phone,2019-02-25,0.00167105219802204,0.0,0,0,0.0,0,0,0.0,0,0
552,188153,398,UNDETERMINED,Mobile Phone,2019-02-26,0.00211529978262372,0.0,0,0,0.0,0,0,0.0,0,0
553,206058,552,UNDETERMINED,Mobile Phone,2019-02-27,0.0026788574090789996,0.0,0,0,0.0,1,0,1.0,0,0
554,172959,431,UNDETERMINED,Mobile Phone,2019-02-28,0.00249192005041657,1.0,0,0,0.0,0,0,0.0,0,0
555,178163,364,UNDETERMINED,Mobile Phone,2019-03-01,0.00204307291637433,0.0,0,0,0.0,0,0,0.0,0,0
556,179557,330,UNDETERMINED,Mobile Phone,2019-03-02,0.001837856502392,0.0,0,0,0.0,0,0,0.0,0,0
557,169495,340,UNDETERMINED,Mobile Phone,2019-03-03,0.002005958877843,0.0,0,0,0.0,0,0,1.0,0,0
558,165571,323,UNDETERMINED,Mobile Phone,2019-03-04,0.0019508247217205898,0.0,0,0,0.0,0,0,0.0,0,0
559,160405,309,UNDETERMINED,Mobile Phone,2019-03-05,0.0019263738661513,0.0,0,0,0.0,0,0,0.0,0,0
560,156066,316,UNDETERMINED,Mobile Phone,2019-03-06,0.0020247843860930603,0.0,0,0,0.0,0,0,0.0,0,0
561,166757,513,UNDETERMINED,Mobile Phone,2019-03-07,0.00307633262771578,0.0,0,0,1.0,1,0,1.0,1,0
562,285902,1411,UNDETERMINED,Mobile Phone,2019-03-08,0.00493525753579898,1.0,1,1,1.0,1,1,1.0,1,1
563,172370,300,UNDETERMINED,Mobile Phone,2019-03-09,0.0017404420722863599,1.0,0,0,1.0,0,0,0.0,0,0
564,159871,245,UNDETERMINED,Mobile Phone,2019-03-10,0.00153248556648798,0.0,0,0,1.0,0,0,0.0,0,0
565,162171,290,UNDETERMINED,Mobile Phone,2019-03-11,0.00178823587447817,0.0,0,0,0.0,0,0,0.0,0,0
566,172380,304,UNDETERMINED,Mobile Phone,2019-03-12,0.0017635456549483699,0.0,0,0,0.0,0,0,0.0,0,0
567,175752,238,UNDETERMINED,Mobile Phone,2019-03-13,0.0013541808912558599,0.0,0,0,0.0,0,0,0.0,1,0
568,205591,335,UNDETERMINED,Mobile Phone,2019-03-14,0.00162944875991653,0.0,1,0,0.0,0,0,0.0,0,0
569,165910,340,UNDETERMINED,Mobile Phone,2019-03-15,0.00204930383943102,1.0,0,0,0.0,0,0,0.0,0,0
570,169425,255,UNDETERMINED,Mobile Phone,2019-03-16,0.0015050907481186401,0.0,0,0,0.0,0,0,0.0,0,0
571,177973,282,UNDETERMINED,Mobile Phone,2019-03-17,0.00158451000994533,1.0,0,0,0.0,0,0,0.0,0,0
