,visitors,orders,customer,device,date,rate,visitors_arima_anomaly,visitors_stl_anomaly,visitors_twitter_anomaly,orders_arima_anomaly,orders_stl_anomaly,orders_twitter_anomaly,rate_arima_anomaly,rate_stl_anomaly,rate_twitter_anomaly
877,21371,40,UNDETERMINED,Tablet,2019-02-01,0.0018716952880071102,0.0,0,0,1.0,0,0,0.0,0,0
878,24742,50,UNDETERMINED,Tablet,2019-02-02,0.00202085522593161,0.0,0,0,0.0,0,0,0.0,0,0
879,29660,157,UNDETERMINED,Tablet,2019-02-03,0.00529332434254889,0.0,1,0,1.0,1,1,1.0,1,1
880,29149,179,UNDETERMINED,Tablet,2019-02-04,0.00614086246526467,0.0,1,0,1.0,1,1,0.0,1,1
881,21429,41,UNDETERMINED,Tablet,2019-02-05,0.00191329506743198,0.0,0,0,0.0,0,0,1.0,0,0
882,22085,37,UNDETERMINED,Tablet,2019-02-06,0.00167534525696174,0.0,0,0,1.0,0,0,0.0,0,0
883,24334,42,UNDETERMINED,Tablet,2019-02-07,0.0017259801101339699,0.0,0,0,0.0,0,0,0.0,0,0
884,25157,41,UNDETERMINED,Tablet,2019-02-08,0.00162976507532695,0.0,0,0,0.0,0,0,0.0,0,0
885,26137,32,UNDETERMINED,Tablet,2019-02-09,0.00122431801660481,0.0,0,0,0.0,0,0,0.0,0,0
886,25654,47,UNDETERMINED,Tablet,2019-02-10,0.0018320729710766398,0.0,0,0,0.0,0,0,0.0,0,0
887,24423,41,UNDETERMINED,Tablet,2019-02-11,0.00167874544486754,0.0,0,0,1.0,0,0,0.0,0,0
888,22769,42,UNDETERMINED,Tablet,2019-02-12,0.0018446132899995601,0.0,0,0,0.0,0,0,0.0,0,0
889,20899,50,UNDETERMINED,Tablet,2019-02-13,0.00239245896932868,0.0,0,0,0.0,0,0,0.0,0,0
890,19510,29,UNDETERMINED,Tablet,2019-02-14,0.00148641722193747,0.0,0,0,0.0,1,0,0.0,0,0
891,20734,59,UNDETERMINED,Tablet,2019-02-15,0.00284556766663451,0.0,0,0,0.0,0,0,0.0,0,0
892,23217,49,UNDETERMINED,Tablet,2019-02-16,0.00211052246198906,0.0,0,0,0.0,0,0,0.0,0,0
893,24943,52,UNDETERMINED,Tablet,2019-02-17,0.00208475323738123,0.0,0,0,0.0,0,0,0.0,0,0
894,23521,54,UNDETERMINED,Tablet,2019-02-18,0.0022958207559202397,0.0,0,0,1.0,0,0,0.0,0,0
895,20888,70,UNDETERMINED,Tablet,2019-02-19,0.00335120643431635,0.0,0,0,0.0,0,0,0.0,0,0
896,25169,101,UNDETERMINED,Tablet,2019-02-20,0.004012872978664229,0.0,0,0,0.0,0,0,0.0,0,0
897,22683,54,UNDETERMINED,Tablet,2019-02-21,0.00238063748181457,0.0,0,0,1.0,1,0,0.0,0,0
898,41597,609,UNDETERMINED,Tablet,2019-02-22,0.0146404788806885,1.0,1,1,1.0,1,1,1.0,1,1
899,25279,53,UNDETERMINED,Tablet,2019-02-23,0.0020966019225444,0.0,0,0,1.0,0,0,1.0,0,0
900,27062,58,UNDETERMINED,Tablet,2019-02-24,0.00214322666469588,0.0,0,0,0.0,0,0,0.0,0,0
901,22099,58,UNDETERMINED,Tablet,2019-02-25,0.00262455314720123,0.0,0,0,0.0,0,0,0.0,0,0
902,18940,47,UNDETERMINED,Tablet,2019-02-26,0.00248152059134108,0.0,0,0,0.0,0,0,0.0,0,0
903,20483,59,UNDETERMINED,Tablet,2019-02-27,0.00288043743592247,0.0,0,0,0.0,0,0,0.0,0,0
904,17795,61,UNDETERMINED,Tablet,2019-02-28,0.00342792919359371,0.0,0,0,0.0,0,0,0.0,0,0
