visitors,orders,customer,device,date,rate,visitors_arima_anomaly,visitors_stl_anomaly,visitors_twitter_anomaly,orders_arima_anomaly,orders_stl_anomaly,orders_twitter_anomaly,rate_arima_anomaly,rate_stl_anomaly,rate_twitter_anomaly
644248,5735,All Visitors,All Devices,2019-02-01,0.00890185146092809,0.0,0,0,0.0,0,0,0.0,0,0
600854,5154,All Visitors,All Devices,2019-02-02,0.00857779094422272,0.0,0,0,0.0,0,0,0.0,0,0
452830,3374,All Visitors,All Devices,2019-02-03,0.00745091977121657,1.0,1,0,1.0,1,0,0.0,1,0
636388,5633,All Visitors,All Devices,2019-02-04,0.00885151825615819,0.0,0,0,0.0,0,0,0.0,0,0
638629,5693,All Visitors,All Devices,2019-02-05,0.00891440883517661,0.0,0,0,0.0,0,0,0.0,0,0
635154,5445,All Visitors,All Devices,2019-02-06,0.00857272409525879,0.0,1,0,0.0,0,0,0.0,0,0
696833,6312,All Visitors,All Devices,2019-02-07,0.00905812439996384,0.0,0,0,0.0,0,0,0.0,0,0
710880,6088,All Visitors,All Devices,2019-02-08,0.00856403331082602,0.0,0,0,0.0,0,0,0.0,0,0
653226,5653,All Visitors,All Devices,2019-02-09,0.0086539727445019,0.0,0,0,0.0,0,0,0.0,0,0
637810,5017,All Visitors,All Devices,2019-02-10,0.00786597889653659,0.0,0,0,0.0,0,0,0.0,0,0
696586,6118,All Visitors,All Devices,2019-02-11,0.00878283514167669,0.0,0,0,0.0,0,0,0.0,0,0
662052,6043,All Visitors,All Devices,2019-02-12,0.00912768181351314,0.0,0,0,0.0,0,0,0.0,1,0
668065,5708,All Visitors,All Devices,2019-02-13,0.00854407879472806,0.0,0,0,0.0,0,0,0.0,0,0
637245,5130,All Visitors,All Devices,2019-02-14,0.00805027893510345,0.0,0,0,0.0,0,0,0.0,0,0
665895,5608,All Visitors,All Devices,2019-02-15,0.00842174817351084,0.0,0,0,0.0,0,0,0.0,0,0
631231,5145,All Visitors,All Devices,2019-02-16,0.00815074037872031,0.0,0,0,0.0,0,0,0.0,0,0
603395,4722,All Visitors,All Devices,2019-02-17,0.00782571947066184,0.0,0,0,0.0,0,0,0.0,0,0
682920,6217,All Visitors,All Devices,2019-02-18,0.0091035553212675,0.0,0,0,0.0,0,0,0.0,0,0
662657,5807,All Visitors,All Devices,2019-02-19,0.00876320630431732,0.0,1,0,0.0,1,0,0.0,0,0
796812,8041,All Visitors,All Devices,2019-02-20,0.0100914644859766,1.0,0,0,1.0,0,0,1.0,0,0
835134,8312,All Visitors,All Devices,2019-02-21,0.00995289378710482,0.0,1,0,0.0,0,0,0.0,0,0
788164,13084,All Visitors,All Devices,2019-02-22,0.016600605965256,0.0,0,0,1.0,1,1,1.0,1,1
689473,6448,All Visitors,All Devices,2019-02-23,0.00935207034938279,0.0,0,0,0.0,0,0,1.0,0,0
679961,6259,All Visitors,All Devices,2019-02-24,0.00920493969507075,0.0,0,0,0.0,0,0,0.0,0,0
701911,6673,All Visitors,All Devices,2019-02-25,0.00950690329685672,0.0,0,0,0.0,0,0,0.0,0,0
694324,6481,All Visitors,All Devices,2019-02-26,0.00933425893386949,0.0,0,0,0.0,0,0,0.0,0,0
712073,7928,All Visitors,All Devices,2019-02-27,0.0111336899447107,0.0,0,0,1.0,1,0,0.0,0,0
636347,6919,All Visitors,All Devices,2019-02-28,0.0108729985369618,0.0,1,0,0.0,0,0,0.0,0,0
681591,7786,All Visitors,All Devices,2019-03-01,0.0114232729011973,0.0,0,0,0.0,0,0,0.0,0,0
617902,6862,All Visitors,All Devices,2019-03-02,0.0111053209084936,0.0,0,0,0.0,0,0,0.0,0,0
584435,6747,All Visitors,All Devices,2019-03-03,0.0115444831332826,0.0,0,0,0.0,0,0,0.0,0,0
664686,7609,All Visitors,All Devices,2019-03-04,0.0114475105538555,0.0,0,0,0.0,0,0,0.0,0,0
639790,7051,All Visitors,All Devices,2019-03-05,0.0110208037012145,0.0,0,0,0.0,0,0,0.0,0,0
630434,7331,All Visitors,All Devices,2019-03-06,0.0116284971939965,0.0,0,0,0.0,0,0,0.0,0,0
525185,5479,All Visitors,All Devices,2019-03-07,0.0104325142568809,0.0,1,0,0.0,1,0,0.0,0,0
674127,7006,All Visitors,All Devices,2019-03-08,0.0103927004852201,0.0,1,0,0.0,0,0,0.0,0,0
559375,5877,All Visitors,All Devices,2019-03-09,0.0105063687150838,0.0,0,0,0.0,0,0,0.0,0,0
535700,5308,All Visitors,All Devices,2019-03-10,0.00990853089415718,0.0,0,0,0.0,0,0,0.0,0,0
629173,6393,All Visitors,All Devices,2019-03-11,0.0101609573201647,0.0,0,0,0.0,0,0,0.0,0,0
657024,6110,All Visitors,All Devices,2019-03-12,0.00929950808494058,0.0,0,0,0.0,0,0,0.0,0,0
693097,6563,All Visitors,All Devices,2019-03-13,0.00946909307066688,0.0,0,0,0.0,0,0,0.0,0,0
742669,6818,All Visitors,All Devices,2019-03-14,0.00918040203643884,0.0,1,0,0.0,0,0,0.0,0,0
642488,6460,All Visitors,All Devices,2019-03-15,0.0100546624995331,0.0,0,0,0.0,0,0,0.0,0,0
