customer,device,date,visitors_forecast,orders_forecast,rate_forecast,v_outlier,o_outlier,r_outlier
All Visitors,All Devices,2019-03-25,637097.413526514,5807.79040278394,0.00947713198965303,0,0,0
All Visitors,All Devices,2019-03-26,628369.568945907,5643.85451607767,0.00988464091205706,0,0,0
All Visitors,All Devices,2019-03-27,634947.083851444,6165.7194850026,0.009986624042298,0,0,0
All Visitors,All Devices,2019-03-28,644033.648186672,5786.23296501996,0.00980160221248044,0,0,0
All Visitors,All Devices,2019-03-29,663775.335992527,6921.35034460384,0.00974491014196234,0,1,0
All Visitors,All Devices,2019-03-30,599378.814217399,5204.32686741104,0.00958240212326605,0,0,0
All Visitors,All Devices,2019-03-31,584142.102889924,4818.43518012035,0.00939761140177229,1,0,0
All Visitors,Mobile Phone,2019-03-25,338113.892640128,1150.65612959244,0.00423423795764558,0,0,0
All Visitors,Mobile Phone,2019-03-26,339421.767889226,1116.87320599661,0.00424602835996852,0,0,0
All Visitors,Mobile Phone,2019-03-27,356633.144803445,1394.4288937573,0.00440877771617277,0,0,1
All Visitors,Mobile Phone,2019-03-28,360787.3215105,1226.88713662002,0.00429044684696268,0,0,0
All Visitors,Mobile Phone,2019-03-29,374010.140730907,1625.55268219037,0.00428129915647415,0,1,0
All Visitors,Mobile Phone,2019-03-30,381904.404643893,1336.34818641096,0.0042730122540259,0,0,0
All Visitors,Mobile Phone,2019-03-31,379363.391105281,1226.61283064022,0.00425784370250563,0,0,0
All Visitors,Desktop,2019-03-25,253983.011379267,4255.30409786001,0.0165701129654475,0,0,1
All Visitors,Desktop,2019-03-26,249179.26695726,4104.18060952561,0.016167833530047,0,0,0
All Visitors,Desktop,2019-03-27,241283.344131931,4366.44172483039,0.0155830183198924,0,0,0
All Visitors,Desktop,2019-03-28,241361.60482198,4271.56430696161,0.0151168315726747,0,0,0
All Visitors,Desktop,2019-03-29,246179.335710603,4738.51098979761,0.0151678165841365,0,0,0
All Visitors,Desktop,2019-03-30,173378.392111252,3379.51228172111,0.0150460056230683,0,0,0
All Visitors,Desktop,2019-03-31,159684.201763224,3113.11926254535,0.014560073233492,1,1,0
All Visitors,Tablet,2019-03-25,38353.636588173,398.160237074704,0.0108500829484252,0,0,0
All Visitors,Tablet,2019-03-26,37687.140907035,388.652537395938,0.0112256728791884,0,0,0
All Visitors,Tablet,2019-03-27,39677.1842244419,409.737235807869,0.0120233612152687,0,0,1
All Visitors,Tablet,2019-03-28,39296.2459799177,367.580820337102,0.0110594946332747,0,0,0
