Visitors,Orders,Customer Type,Device Type,Date,Rate
3956,10,PROSPECT,Tablet,2019-02-01,0.25278058600000003
20600,109,PROSPECT,Mobile Phone,2019-02-01,0.529126214
14111,321,CUSTOMER,Tablet,2019-02-01,2.274821062
154086,3389,CUSTOMER,Desktop,2019-02-01,2.199421103
79575,833,CUSTOMER,Mobile Phone,2019-02-01,1.046811184
158023,586,UNDETERMINED,Desktop,2019-02-01,0.370832094
171096,346,UNDETERMINED,Mobile Phone,2019-02-01,0.202225651
21987,98,PROSPECT,Desktop,2019-02-01,0.445717924
21371,40,UNDETERMINED,Tablet,2019-02-01,0.18716952899999997
82752,970,CUSTOMER,Mobile Phone,2019-02-02,1.172177108
135686,377,UNDETERMINED,Desktop,2019-02-02,0.277847383
186678,268,UNDETERMINED,Mobile Phone,2019-02-02,0.14356271199999998
17583,75,PROSPECT,Desktop,2019-02-02,0.42654837100000004
20558,88,PROSPECT,Mobile Phone,2019-02-02,0.42805720399999997
113781,2946,CUSTOMER,Desktop,2019-02-02,2.5891844859999997
15636,372,CUSTOMER,Tablet,2019-02-02,2.379125096
24742,50,UNDETERMINED,Tablet,2019-02-02,0.20208552300000002
3923,8,PROSPECT,Tablet,2019-02-02,0.203925567
143947,1216,UNDETERMINED,Desktop,2019-02-03,0.8447553609999999
41618,916,CUSTOMER,Desktop,2019-02-03,2.200970734
6216,131,CUSTOMER,Tablet,2019-02-03,2.107464607
29660,157,UNDETERMINED,Tablet,2019-02-03,0.529332434
32030,294,CUSTOMER,Mobile Phone,2019-02-03,0.9178894790000001
189335,597,UNDETERMINED,Mobile Phone,2019-02-03,0.31531412600000003
1605,4,PROSPECT,Tablet,2019-02-03,0.24922118399999998
8892,31,PROSPECT,Mobile Phone,2019-02-03,0.34862798
6593,26,PROSPECT,Desktop,2019-02-03,0.394357652
7674,175,CUSTOMER,Tablet,2019-02-04,2.280427417
213592,623,UNDETERMINED,Mobile Phone,2019-02-04,0.291677591
14170,70,PROSPECT,Desktop,2019-02-04,0.494001411
11000,60,PROSPECT,Mobile Phone,2019-02-04,0.545454545
48238,485,CUSTOMER,Mobile Phone,2019-02-04,1.005431403
29149,179,UNDETERMINED,Tablet,2019-02-04,0.614086247
211332,1621,UNDETERMINED,Desktop,2019-02-04,0.76703954
