visitors,orders,customer_type,device_type,date,
13030,291,CUSTOMER,Tablet,3/12/2019,0.022333078
927,0,UNDETERMINED,Gaming Console,3/12/2019,0
161097,3820,CUSTOMER,Desktop,3/12/2019,0.023712422
21400,90,PROSPECT,Mobile Phone,3/12/2019,0.004205607
16,1,CUSTOMER,Gaming Console,3/12/2019,0.0625
3107,14,PROSPECT,Tablet,3/12/2019,0.004505954
20966,103,PROSPECT,Desktop,3/12/2019,0.004912716
163,0,PROSPECT,Gaming Console,3/12/2019,0
172380,304,UNDETERMINED,Mobile Phone,3/12/2019,0.001763546
170359,651,UNDETERMINED,Desktop,3/12/2019,0.003821342
77045,767,CUSTOMER,Mobile Phone,3/12/2019,0.009955221
17273,69,UNDETERMINED,Tablet,3/12/2019,0.003994674
1605,4,PROSPECT,Tablet,2/3/2019,0.002492212
6593,26,PROSPECT,Desktop,2/3/2019,0.003943577
8,1,PROSPECT,Gaming Console,2/3/2019,0.125
189335,597,UNDETERMINED,Mobile Phone,2/3/2019,0.003153141
143947,1216,UNDETERMINED,Desktop,2/3/2019,0.008447554
32030,294,CUSTOMER,Mobile Phone,2/3/2019,0.009178895
29660,157,UNDETERMINED,Tablet,2/3/2019,0.005293324
6216,131,CUSTOMER,Tablet,2/3/2019,0.021074646
103,0,UNDETERMINED,Gaming Console,2/3/2019,0
41618,916,CUSTOMER,Desktop,2/3/2019,0.022009707
8892,31,PROSPECT,Mobile Phone,2/3/2019,0.00348628
3,1,CUSTOMER,Gaming Console,2/3/2019,0.333333333
83629,1897,CUSTOMER,Desktop,3/21/2019,0.022683519
12103,58,PROSPECT,Mobile Phone,3/21/2019,0.0047922
5,0,CUSTOMER,Gaming Console,3/21/2019,0
1451,3,PROSPECT,Tablet,3/21/2019,0.00206754
10019,49,PROSPECT,Desktop,3/21/2019,0.004890708
268,0,PROSPECT,Gaming Console,3/21/2019,0
278565,801,UNDETERMINED,Mobile Phone,3/21/2019,0.002875451
185557,2219,UNDETERMINED,Desktop,3/21/2019,0.01195859
56338,374,CUSTOMER,Mobile Phone,3/21/2019,0.006638503
29032,240,UNDETERMINED,Tablet,3/21/2019,0.00826674
7882,142,CUSTOMER,Tablet,3/21/2019,0.018015732
1838,0,UNDETERMINED,Gaming Console,3/21/2019,0
13215,81,PROSPECT,Desktop,3/7/2019,0.006129398
125,0,PROSPECT,Gaming Console,3/7/2019,0
166757,513,UNDETERMINED,Mobile Phone,3/7/2019,0.003076333
159627,1610,UNDETERMINED,Desktop,3/7/2019,0.010086013
52630,458,CUSTOMER,Mobile Phone,3/7/2019,0.008702261
17178,106,UNDETERMINED,Tablet,3/7/2019,0.006170683
7143,149,CUSTOMER,Tablet,3/7/2019,0.020859583
784,0,UNDETERMINED,Gaming Console,3/7/2019,0
102523,2480,CUSTOMER,Desktop,3/7/2019,0.024189694
11771,78,PROSPECT,Mobile Phone,3/7/2019,0.006626455
6,0,CUSTOMER,Gaming Console,3/7/2019,0
1471,4,PROSPECT,Tablet,3/7/2019,0.002719239
